graph_idx,threshold,mean_dyn,mean_stat,delta_mean,median_dyn,median_stat,delta_median,std_dyn,std_stat,delta_std,ks_stat,ks_pvalue,ad_stat,ad_significance_level,wasserstein
0,T10,2.510798025499094,2.514191148777296,-0.0033931232782022924,2.3074063483838616,2.3004850408360857,0.006921307547775868,1.013272431681085,0.9134387306641778,0.09983370101690725,0.06,0.8655265369450457,-0.9374220081564458,0.25,0.07099810949522829
0,T20,2.8894784245767253,2.888356489691412,0.0011219348853135358,2.686025521261465,2.6832907290756554,0.0027347921858096313,1.0160928914968883,0.9148037396630205,0.10128915183386777,0.06,0.8655265369450457,-0.9873372719028197,0.25,0.06963016240328557
0,T30,3.1444083785504766,3.1369831132414214,0.0074252653090551846,2.948643883384923,2.939713099864768,0.008930783520155305,1.0169580178888322,0.9168972078234089,0.10006081006542333,0.05,0.9646522162314058,-1.0332842080058244,0.25,0.0672265001162499
0,T40,3.3607351999256743,3.3429395796108543,0.01779562031481996,3.1648569194558074,3.148711458849216,0.01614546060659139,1.0196121201341606,0.9205673812003631,0.0990447389337975,0.045,0.9877895282790693,-1.076852083454053,0.25,0.06598878597383717
0,T50,3.564008708635118,3.534193627100645,0.029815081534473098,3.367167651807212,3.3235920198663624,0.04357563194084957,1.019592631298642,0.9204252674737017,0.0991673638249404,0.05,0.9646522162314058,-1.0652127730516368,0.25,0.06659478504975197
0,T60,3.773812321415958,3.7319800176294042,0.04183230378655356,3.5527343566703737,3.5254495925780898,0.027284764092283975,1.021307342603768,0.9217908367677062,0.09951650583606175,0.055,0.9238374197330625,-1.0011103031869135,0.25,0.06795208962667262
0,T70,4.008946276343671,3.95676594566084,0.05218033068283123,3.791977947192918,3.7417948487103367,0.05018309848258129,1.0222538758611803,0.9214897989876709,0.10076407687350941,0.055,0.9238374197330625,-0.9060653167443732,0.25,0.0721521159175062
0,T80,4.321285228035023,4.240612931875542,0.08067229615948168,4.096662347958873,4.032031546645303,0.06463080131356946,1.021604172387388,0.9212182718528324,0.10038590053455565,0.07,0.7125821300149116,-0.5248758348226887,0.25,0.08686936251630095
0,T90,4.84950122186606,4.7059491784339285,0.14355204343213135,4.595799746888868,4.504801400556338,0.09099834633252968,1.0231747550317445,0.9275797967219233,0.09559495830982123,0.12,0.11228360286766195,1.579709520449433,0.07243523969010766,0.1458175201941528
0,T99,7.094179300840376,6.640689522106132,0.45348977873424445,6.9217793800704905,6.532378525622963,0.38940085444752714,1.1018446898623604,0.9628221176695446,0.13902257219281577,0.255,4.024806511439489e-06,17.841578644356698,0.001,0.45348977873424523
1,T10,2.3494622730929877,2.2052683784550045,0.14419389463798327,2.1612125780023277,2.0397910194688924,0.12142155853343528,0.836058446515614,0.872060188470113,-0.03600174195449901,0.165,0.008539483949831865,5.069961906883529,0.0032742469240381244,0.17278382522710456
1,T20,2.722050280537155,2.5487928469988406,0.17325743353831458,2.5210555965376797,2.378951669009086,0.14210392752859358,0.8415926811694773,0.8749866435004525,-0.033393962330975246,0.185,0.0020827633834865906,7.009196463096118,0.001,0.19920537895831777
1,T30,2.9761174970350566,2.7783826431899272,0.19773485384512934,2.7630242966453924,2.610730422123954,0.1522938745214386,0.8435031348637478,0.877054552011109,-0.03355141714736121,0.2,0.000648608042418048,9.138948235788417,0.001,0.22336578955986808
1,T40,3.1910162507361988,2.9698145626906767,0.2212016880455221,2.9813911813064062,2.8068488593178054,0.17454232198860087,0.8413196773499697,0.876129335378339,-0.03480965802836933,0.215,0.00018395764501293307,11.291630177992909,0.001,0.24577597811911966
1,T50,3.3910846268026864,3.150144306657138,0.24094032014554845,3.184608355530445,2.9847064694877217,0.1999018860427233,0.8410199537370598,0.8771869631888868,-0.03616700945182694,0.235,2.9607827368482373e-05,13.166413019570365,0.001,0.2646286680478571
1,T60,3.5966803001196648,3.3325715834164735,0.26410871670319125,3.396860286792835,3.1642137722329204,0.23264651455991459,0.8404836989031755,0.8767935852452429,-0.03630988634206733,0.25,6.734842895808746e-06,15.92987026946893,0.001,0.28622491577572945
1,T70,3.8339475310029956,3.53917451931757,0.2947730116854257,3.6340365923814733,3.3715411466925893,0.26249544568888394,0.8431752696674998,0.8740475710526769,-0.03087230138517716,0.265,1.3921047931216453e-06,19.026128353568698,0.001,0.3137628643537811
1,T80,4.138472870307103,3.8034014952186372,0.33507137508846574,3.928470888376217,3.6405759282165904,0.28789496015962657,0.8446327263081893,0.8754313991241973,-0.03079867281600801,0.29,8.114129962716335e-08,24.056489592377982,0.001,0.35193547496233085
1,T90,4.659964642730608,4.246277774102764,0.41368686862784365,4.462789676704171,4.062185326366575,0.4006043503375958,0.8434694661233298,0.8669909528288569,-0.023521486705527006,0.345,5.951062636424447e-11,34.465556272757915,0.001,0.428326204249014
